system,p_noise,o_noise,dist,rho,mae,rmse,tar,Jacobian,rho_coef,mae_coef,rmse_coef
5CFC,0.001,0.001,Euclidean,0.9988610709357209,0.00922559727571738,0.02033531177844062,x1,C1,0.6796968170647968,0.5258482722974187,1.074099941837085
5CFC,0.001,0.001,Euclidean,0.9988610709357209,0.00922559727571738,0.02033531177844062,x1,C2,0.6580334048999558,0.1530144894055188,0.2587670972438348
5CFC,0.001,0.001,Euclidean,0.9988610709357209,0.00922559727571738,0.02033531177844062,x1,C3,0.4486503460167709,0.1348567381476128,0.21914273590534172
5CFC,0.001,0.001,Euclidean,0.9988610709357209,0.00922559727571738,0.02033531177844062,x1,C4,0.15595335842833874,0.09688411436833348,0.22742506584479397
5CFC,0.001,0.001,Euclidean,0.9988610709357209,0.00922559727571738,0.02033531177844062,x1,C5,-0.093769299961151,0.2213499007645576,0.6236808663462938
5CFC,0.001,0.001,Geodesic,0.998865658428801,0.00988175152439732,0.01997613539133664,x1,C1,0.6649480799990856,0.546376611695932,1.0866750885124123
5CFC,0.001,0.001,Geodesic,0.998865658428801,0.00988175152439732,0.01997613539133664,x1,C2,0.6355872857369587,0.13083505496562353,0.19487333030328255
5CFC,0.001,0.001,Geodesic,0.998865658428801,0.00988175152439732,0.01997613539133664,x1,C3,0.3120623881766264,0.15119621303140304,0.2603245004635712
5CFC,0.001,0.001,Geodesic,0.998865658428801,0.00988175152439732,0.01997613539133664,x1,C4,0.199090251745606,0.1196466243018562,0.3444743540182499
5CFC,0.001,0.001,Geodesic,0.998865658428801,0.00988175152439732,0.01997613539133664,x1,C5,-0.10501331731938444,0.32500201616498703,1.5571697145640726
5CFC,0.001,0.001,Multiview,0.9995411400743004,0.00615111974626992,0.01284192809380949,x1,C1,0.6506335446122087,0.613923794235471,1.074804809332808
5CFC,0.001,0.001,Multiview,0.9995411400743004,0.00615111974626992,0.01284192809380949,x1,C2,0.6270997653817056,0.1522808536017074,0.18994187264431495
5CFC,0.001,0.001,Multiview,0.9995411400743004,0.00615111974626992,0.01284192809380949,x1,C3,0.5650253919101572,0.12642420445705074,0.15848617330658263
5CFC,0.001,0.001,Multiview,0.9995411400743004,0.00615111974626992,0.01284192809380949,x1,C4,0.549487893139753,0.04715163001155547,0.06878709748888602
5CFC,0.001,0.001,Multiview,0.9995411400743004,0.00615111974626992,0.01284192809380949,x1,C5,0.04972100943653398,0.05812946112160476,0.08529151023287618
