system,p_noise,o_noise,dist,rho,mae,rmse,tar,Jacobian,rho_coef,mae_coef,rmse_coef
Lorenz63,0.001,0.001,Euclidean,0.9999980818383968,0.01234612837740084,0.0159733801554292,x1,C1,-0.1329718213836311,0.16686130890400075,0.25961876112503945
Lorenz63,0.001,0.001,Euclidean,0.9999980818383968,0.01234612837740084,0.0159733801554292,x1,C2,0.4966176451254921,0.07729983326851246,0.11822233180219568
Lorenz63,0.001,0.001,Euclidean,0.9999980818383968,0.01234612837740084,0.0159733801554292,x1,C3,0.7105128890639397,0.05409534158639594,0.09731215033151933
Lorenz63,0.001,0.001,Geodesic,0.999996948089185,0.01571701880074399,0.02008887449711929,x1,C1,-0.32145133513091306,0.129214417296466,0.20327680133193096
Lorenz63,0.001,0.001,Geodesic,0.999996948089185,0.01571701880074399,0.02008887449711929,x1,C2,0.7358636764256875,0.05640211741020645,0.08202795251047332
Lorenz63,0.001,0.001,Geodesic,0.999996948089185,0.01571701880074399,0.02008887449711929,x1,C3,0.8134298168049438,0.04274339598131158,0.08556735323929668
Lorenz63,0.001,0.001,Multiview,0.9999979569028488,0.01242192315237968,0.01619354217799102,x1,C1,0.09913158670550563,0.1659892540920722,0.2414920444960767
Lorenz63,0.001,0.001,Multiview,0.9999979569028488,0.01242192315237968,0.01619354217799102,x1,C2,0.38014111424164154,0.08116278330216581,0.11131097814924538
Lorenz63,0.001,0.001,Multiview,0.9999979569028488,0.01242192315237968,0.01619354217799102,x1,C3,0.5692655572834314,0.05660853907635554,0.09870003034113065
Lorenz63,0.001,0.001,LMD,0.9999984684350388,0.01089081112341959,0.01410488968965551,x1,C1,0.6399319697941435,0.0462123391048769,0.07108138198048868
Lorenz63,0.001,0.001,LMD,0.9999984684350388,0.01089081112341959,0.01410488968965551,x1,C2,0.7247544564461413,0.0198546043328251,0.03337159902651958
Lorenz63,0.001,0.001,LMD,0.9999984684350388,0.01089081112341959,0.01410488968965551,x1,C3,0.9486776742902668,0.01302904459714085,0.02761504821324021
Lorenz63,0.001,0.001,Euclidean,0.9999873084399392,0.034535368729695017,0.04945097649333354,x2,C1,-0.14475736193245306,0.6859691392607704,1.0915516957762943
Lorenz63,0.001,0.001,Euclidean,0.9999873084399392,0.034535368729695017,0.04945097649333354,x2,C2,0.6171963046562419,0.31844376806606517,0.4933722348823784
Lorenz63,0.001,0.001,Euclidean,0.9999873084399392,0.034535368729695017,0.04945097649333354,x2,C3,0.8197013151264657,0.23123191655909,0.3988798164838676
Lorenz63,0.001,0.001,Geodesic,0.999960265639599,0.06400295632539335,0.08408081799345134,x2,C1,-0.34303409139270097,0.5400528822764846,0.8846407811554934
Lorenz63,0.001,0.001,Geodesic,0.999960265639599,0.06400295632539335,0.08408081799345134,x2,C2,0.8371455887359049,0.23279024669069975,0.34511464308126144
Lorenz63,0.001,0.001,Geodesic,0.999960265639599,0.06400295632539335,0.08408081799345134,x2,C3,0.8627755444043141,0.18036534637689572,0.3671513069998632
Lorenz63,0.001,0.001,Multiview,0.9999869791664916,0.03460233584425376,0.04961582811451505,x2,C1,-0.1220657222441119,0.6590977988532983,1.0466632963253888
Lorenz63,0.001,0.001,Multiview,0.9999869791664916,0.03460233584425376,0.04961582811451505,x2,C2,0.6282388312754572,0.30039385445647204,0.45335255206934055
Lorenz63,0.001,0.001,Multiview,0.9999869791664916,0.03460233584425376,0.04961582811451505,x2,C3,0.7815530219186664,0.2259197025999559,0.3937322935599255
Lorenz63,0.001,0.001,LMD,0.9999896950673376,0.0286765716458886,0.04210106541959437,x2,C1,0.691874443098092,0.2112289827289383,0.2950123954403926
Lorenz63,0.001,0.001,LMD,0.9999896950673376,0.0286765716458886,0.04210106541959437,x2,C2,0.8321325385440349,0.0815100261043932,0.12659338798212336
Lorenz63,0.001,0.001,LMD,0.9999896950673376,0.0286765716458886,0.04210106541959437,x2,C3,0.9754344507010952,0.05143182900516958,0.0850644242506344
Lorenz63,0.001,0.001,Euclidean,0.9999852349268322,0.03778948608754719,0.053129218804548,x3,C1,-0.19479695375363076,0.6199508149198596,0.9608659268549664
Lorenz63,0.001,0.001,Euclidean,0.9999852349268322,0.03778948608754719,0.053129218804548,x3,C2,0.7737265217662175,0.3304251391397711,0.5152092018821663
Lorenz63,0.001,0.001,Euclidean,0.9999852349268322,0.03778948608754719,0.053129218804548,x3,C3,0.3669282423545963,0.18260012451845312,0.29807695958442043
Lorenz63,0.001,0.001,Geodesic,0.9999694784527264,0.06968802353249846,0.08659036533154717,x3,C1,-0.6506175761797759,0.5859631592358853,0.9388021097027224
Lorenz63,0.001,0.001,Geodesic,0.9999694784527264,0.06968802353249846,0.08659036533154717,x3,C2,0.8606364591299692,0.30353807886148615,0.4924869385441142
Lorenz63,0.001,0.001,Geodesic,0.9999694784527264,0.06968802353249846,0.08659036533154717,x3,C3,0.2152224432024519,0.14469803165397876,0.21558910164993417
Lorenz63,0.001,0.001,Multiview,0.9999800304887432,0.04356462775773658,0.06134906038840406,x3,C1,-0.188709319658496,0.7901106853064377,1.180984520040851
Lorenz63,0.001,0.001,Multiview,0.9999800304887432,0.04356462775773658,0.06134906038840406,x3,C2,0.683660896806808,0.43356111895401006,0.633042883849161
Lorenz63,0.001,0.001,Multiview,0.9999800304887432,0.04356462775773658,0.06134906038840406,x3,C3,0.4718724830174758,0.24159889012158783,0.37494713504329696
Lorenz63,0.001,0.001,LMD,0.9999923160897896,0.02303730469023879,0.03585515675189972,x3,C1,0.25317078892131584,0.2153759841266116,0.3565601284437912
Lorenz63,0.001,0.001,LMD,0.9999923160897896,0.02303730469023879,0.03585515675189972,x3,C2,0.9658625178034044,0.11008420402907047,0.18150595581508533
Lorenz63,0.001,0.001,LMD,0.9999923160897896,0.02303730469023879,0.03585515675189972,x3,C3,0.4624432331912386,0.06701289547310581,0.10402999168456802
Lorenz63,0.001,0.051,Euclidean,0.9980108934207924,0.39237149878916266,0.49657375065523424,x1,C1,-0.34997400787461536,0.1028563241599483,0.13940398491213976
Lorenz63,0.001,0.051,Euclidean,0.9980108934207924,0.39237149878916266,0.49657375065523424,x1,C2,0.8271501348551588,0.06523058365771849,0.07762310085965804
Lorenz63,0.001,0.051,Euclidean,0.9980108934207924,0.39237149878916266,0.49657375065523424,x1,C3,0.9464864751284872,0.03224213822208101,0.03686895104487114
Lorenz63,0.001,0.051,Geodesic,0.9980047289253848,0.3941504216104219,0.4973363958470914,x1,C1,-0.24517656413916672,0.12427161799647451,0.16745945413713215
Lorenz63,0.001,0.051,Geodesic,0.9980047289253848,0.3941504216104219,0.4973363958470914,x1,C2,0.7630679327584496,0.0774380013941465,0.0949389433600912
Lorenz63,0.001,0.051,Geodesic,0.9980047289253848,0.3941504216104219,0.4973363958470914,x1,C3,0.8713282867571589,0.03652199936231523,0.04378018846540166
Lorenz63,0.001,0.051,Multiview,0.9980163835217516,0.3946020581918002,0.49271495178991814,x1,C1,0.35348695690417875,0.19595768253479745,0.22500227610040183
Lorenz63,0.001,0.051,Multiview,0.9980163835217516,0.3946020581918002,0.49271495178991814,x1,C2,0.475040460606854,0.113442010802862,0.12394758506418022
Lorenz63,0.001,0.051,Multiview,0.9980163835217516,0.3946020581918002,0.49271495178991814,x1,C3,0.1914012550325545,0.06080353272844215,0.07659758577283515
Lorenz63,0.001,0.051,LMD,0.9981730791613552,0.3800440701812376,0.475915012701886,x1,C1,0.6165624893436716,0.29410510633832376,0.3143838501288895
Lorenz63,0.001,0.051,LMD,0.9981730791613552,0.3800440701812376,0.475915012701886,x1,C2,0.10955049293179264,0.14168276176038103,0.15387106014604343
Lorenz63,0.001,0.051,LMD,0.9981730791613552,0.3800440701812376,0.475915012701886,x1,C3,-0.9597062731940048,0.10075951793339492,0.12802067229756783
Lorenz63,0.001,0.051,Euclidean,0.9972619914589762,0.5409062474290057,0.6712952025100299,x2,C1,0.5771821843199698,0.2604552681624033,0.33497614174149754
Lorenz63,0.001,0.051,Euclidean,0.9972619914589762,0.5409062474290057,0.6712952025100299,x2,C2,0.8138507704500798,0.10990691171428128,0.15042228944242175
Lorenz63,0.001,0.051,Euclidean,0.9972619914589762,0.5409062474290057,0.6712952025100299,x2,C3,0.9768367685807304,0.06186618756175709,0.08201011536570078
Lorenz63,0.001,0.051,Geodesic,0.9972058785299552,0.5452025916952796,0.67789261896929,x2,C1,0.5465234765100794,0.27237932406794263,0.35193551618445207
Lorenz63,0.001,0.051,Geodesic,0.9972058785299552,0.5452025916952796,0.67789261896929,x2,C2,0.8025491654849213,0.11611070419518987,0.15493625396475985
Lorenz63,0.001,0.051,Geodesic,0.9972058785299552,0.5452025916952796,0.67789261896929,x2,C3,0.9719775978707312,0.06619500041752009,0.09056958920068003
Lorenz63,0.001,0.051,Multiview,0.9971598206094712,0.5436051585990038,0.6803599432305224,x2,C1,0.4665394612379853,0.3190238185875453,0.40392219343302305
Lorenz63,0.001,0.051,Multiview,0.9971598206094712,0.5436051585990038,0.6803599432305224,x2,C2,0.7428354144929231,0.14584504795768888,0.1863196374122915
Lorenz63,0.001,0.051,Multiview,0.9971598206094712,0.5436051585990038,0.6803599432305224,x2,C3,0.956188370657696,0.08580522865682011,0.1151722836700903
Lorenz63,0.001,0.051,LMD,0.9974185749019068,0.5289962699823622,0.651265738725302,x2,C1,0.6488113580104193,0.24974743606493116,0.3009241621021319
Lorenz63,0.001,0.051,LMD,0.9974185749019068,0.5289962699823622,0.651265738725302,x2,C2,0.8611951696694283,0.07846895804712105,0.1049017869284411
Lorenz63,0.001,0.051,LMD,0.9974185749019068,0.5289962699823622,0.651265738725302,x2,C3,0.982502995994344,0.04822508627808495,0.0662460027942827
